Latitude,Longitude,updated_type,updated_subtype,Alert_Count
-87.89,41.980000000000004,ROAD_CLOSED,UNCLASSIFIED,1
-87.89,41.99,ACCIDENT,MAJOR,1
-87.89,41.99,ACCIDENT,UNCLASSIFIED,2
-87.89,41.99,HAZARD,ON ROAD,11
-87.89,41.99,HAZARD,ON ROAD CONSTRUCTION,4
-87.89,41.99,HAZARD,ON ROAD EMERGENCY VEHICLE,8
-87.89,41.99,HAZARD,ON ROAD OBJECT,1
-87.89,41.99,HAZARD,ON ROAD POT HOLE,3
-87.89,41.99,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,1
-87.89,41.99,HAZARD,ON SHOULDER CAR STOPPED,11
-87.89,41.99,HAZARD,UNCLASSIFIED,4
-87.89,41.99,HAZARD,WEATHER,3
-87.89,41.99,HAZARD,WEATHER FOG,1
-87.89,41.99,JAM,HEAVY TRAFFIC,1
-87.89,41.99,JAM,STAND STILL TRAFFIC,4
-87.89,41.99,JAM,UNCLASSIFIED,6
-87.89,42.0,ACCIDENT,UNCLASSIFIED,2
-87.89,42.0,HAZARD,ON ROAD,2
-87.89,42.0,HAZARD,ON ROAD EMERGENCY VEHICLE,11
-87.89,42.0,HAZARD,ON ROAD POT HOLE,1
-87.89,42.0,HAZARD,ON SHOULDER CAR STOPPED,3
-87.89,42.0,HAZARD,UNCLASSIFIED,4
-87.89,42.0,JAM,HEAVY TRAFFIC,1
-87.89,42.0,JAM,UNCLASSIFIED,3
-87.88,41.96,ACCIDENT,MAJOR,1
-87.88,41.96,ACCIDENT,MINOR,3
-87.88,41.96,ACCIDENT,UNCLASSIFIED,11
-87.88,41.96,HAZARD,ON ROAD,29
-87.88,41.96,HAZARD,ON ROAD CAR STOPPED,6
-87.88,41.96,HAZARD,ON ROAD CONSTRUCTION,9
-87.88,41.96,HAZARD,ON ROAD EMERGENCY VEHICLE,3
-87.88,41.96,HAZARD,ON ROAD ICE,1
-87.88,41.96,HAZARD,ON ROAD OBJECT,16
-87.88,41.96,HAZARD,ON ROAD POT HOLE,4
-87.88,41.96,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,3
-87.88,41.96,HAZARD,ON SHOULDER CAR STOPPED,261
-87.88,41.96,HAZARD,UNCLASSIFIED,9
-87.88,41.96,HAZARD,WEATHER FOG,2
-87.88,41.96,JAM,HEAVY TRAFFIC,31
-87.88,41.96,JAM,MODERATE TRAFFIC,1
-87.88,41.96,JAM,STAND STILL TRAFFIC,36
-87.88,41.96,JAM,UNCLASSIFIED,15
-87.88,41.96,ROAD_CLOSED,UNCLASSIFIED,2
-87.88,41.97,HAZARD,ON ROAD,1
-87.88,41.97,HAZARD,ON SHOULDER CAR STOPPED,5
-87.88,41.97,HAZARD,UNCLASSIFIED,4
-87.88,41.980000000000004,ACCIDENT,MAJOR,19
-87.88,41.980000000000004,ACCIDENT,MINOR,5
-87.88,41.980000000000004,ACCIDENT,UNCLASSIFIED,29
-87.88,41.980000000000004,HAZARD,ON ROAD,61
-87.88,41.980000000000004,HAZARD,ON ROAD CAR STOPPED,12
-87.88,41.980000000000004,HAZARD,ON ROAD CONSTRUCTION,8
-87.88,41.980000000000004,HAZARD,ON ROAD EMERGENCY VEHICLE,23
-87.88,41.980000000000004,HAZARD,ON ROAD OBJECT,31
-87.88,41.980000000000004,HAZARD,ON ROAD POT HOLE,7
-87.88,41.980000000000004,HAZARD,ON ROAD TRAFFIC LIGHT FAULT,2
-87.88,41.980000000000004,HAZARD,ON SHOULDER ANIMALS,1
-87.88,41.980000000000004,HAZARD,ON SHOULDER CAR STOPPED,725
-87.88,41.980000000000004,HAZARD,UNCLASSIFIED,22
-87.88,41.980000000000004,HAZARD,WEATHER,1
-87.88,41.980000000000004,HAZARD,WEATHER FLOOD,2
-87.88,41.980000000000004,HAZARD,WEATHER FOG,2
-87.88,41.980000000000004,HAZARD,WEATHER HAIL,1
-87.88,41.980000000000004,JAM,HEAVY TRAFFIC,70
-87.88,41.980000000000004,JAM,MODERATE TRAFFIC,4
